"","code","cdk_id"
"201","79Y","gtfs.line.1.79y-0"
"202","79T","gtfs.line.1.79t-1"
"203","79T","gtfs.line.1.79t-0"
"204","79M","gtfs.line.1.79m-1"
"205","79M","gtfs.line.1.79m-0"
"206","79K","gtfs.line.1.79k-1"
"207","79K","gtfs.line.1.79k-0"
"208","79G","gtfs.line.1.79g-1"
"209","79G","gtfs.line.1.79g-0"
"210","79C","gtfs.line.1.79c-1"
"211","79C","gtfs.line.1.79c-0"
"212","79B","gtfs.line.1.79b-1"
"213","79B","gtfs.line.1.79b-0"
"214","78Ş","gtfs.line.1.78-1"
"215","78Ş","gtfs.line.1.78-0"
"216","78ZB","gtfs.line.1.78zb-1"
"217","78ZB","gtfs.line.1.78zb-0"
"218","78M","gtfs.line.1.78m-1"
"219","78M","gtfs.line.1.78m-0"
"220","78G","gtfs.line.1.78g-1"
"221","78G","gtfs.line.1.78g-0"
"222","78E","gtfs.line.1.78e-1"
"223","78E","gtfs.line.1.78e-0"
"224","78C","gtfs.line.1.78c-1"
"225","78C","gtfs.line.1.78c-0"
"226","78B","gtfs.line.1.78b-1"
"227","78B","gtfs.line.1.78b-0"
"228","77Ç","gtfs.line.1.77-1"
"229","77Ç","gtfs.line.1.77-0"
"230","77MT","gtfs.line.1.77mt-1"
"231","77A","gtfs.line.1.77a-0"
"232","76Y","gtfs.line.1.76y-1"
"233","76Y","gtfs.line.1.76y-0"
"234","76O","gtfs.line.1.76o-1"
"235","76O","gtfs.line.1.76o-0"
"236","76M","gtfs.line.1.76m-1"
"237","76M","gtfs.line.1.76m-0"
"238","76E","gtfs.line.1.76e-1"
"239","76E","gtfs.line.1.76e-0"
"240","76D","gtfs.line.1.76d-1"
"241","76D","gtfs.line.1.76d-0"
"242","76B","gtfs.line.1.76b-1"
"243","76B","gtfs.line.1.76b-0"
"244","76","gtfs.line.1.76-1"
"245","76","gtfs.line.1.76-0"
"246","75O","gtfs.line.1.75o-1"
"247","75O","gtfs.line.1.75o-0"
"248","75M","gtfs.line.1.75m-1"
"249","75M","gtfs.line.1.75m-0"
"250","74A","gtfs.line.1.74a-1"
"251","74A","gtfs.line.1.74a-0"
"252","74","gtfs.line.1.74-1"
"253","74","gtfs.line.1.74-0"
"254","73T","gtfs.line.1.73t-1"
"255","73T","gtfs.line.1.73t-0"
"256","73F","gtfs.line.1.73f-1"
"257","73F","gtfs.line.1.73f-0"
"258","73","gtfs.line.1.73-1"
"259","73","gtfs.line.1.73-0"
"260","72T","gtfs.line.1.72t-1"
"261","72T","gtfs.line.1.72t-0"
"262","71T","gtfs.line.1.71t-1"
"263","71T","gtfs.line.1.71t-0"
"264","70KY","gtfs.line.1.70ky-1"
"265","70KY","gtfs.line.1.70ky-0"
"266","70KE","gtfs.line.1.70ke-1"
"267","70KE","gtfs.line.1.70ke-0"
"268","70FY","gtfs.line.1.70fy-1"
"269","70FY","gtfs.line.1.70fy-0"
"270","70FE","gtfs.line.1.70fe-1"
"271","70FE","gtfs.line.1.70fe-0"
"272","7","gtfs.line.1.7-0"
"273","69A","gtfs.line.1.69a-1"
"274","69A","gtfs.line.1.69a-0"
"275","66Z","gtfs.line.1.66z-0"
"276","66","gtfs.line.1.66-1"
"277","66","gtfs.line.1.66-0"
"278","62G","gtfs.line.1.62g-1"
"279","62G","gtfs.line.1.62g-0"
"280","61B","gtfs.line.1.61b-1"
"281","6","gtfs.line.1.6-1"
"282","6","gtfs.line.1.6-0"
"283","59UÇ","gtfs.line.1.59u-0"
"284","59S","gtfs.line.1.59s-0"
"285","59RS","gtfs.line.1.59rs-1"
"286","59RS","gtfs.line.1.59rs-0"
"287","59RK","gtfs.line.1.59rk-1"
"288","59RK","gtfs.line.1.59rk-0"
"289","59RH","gtfs.line.1.59rh-1"
"290","59RH","gtfs.line.1.59rh-0"
"291","59R","gtfs.line.1.59r-0"
"292","59N","gtfs.line.1.59n-0"
"293","59K","gtfs.line.1.59k-0"
"294","59H","gtfs.line.1.59h-0"
"295","59C","gtfs.line.1.59c-1"
"296","42T","gtfs.line.1.42t-1"
"297","42T","gtfs.line.1.42t-0"
"298","42M","gtfs.line.1.42m-1"
"299","42M","gtfs.line.1.42m-0"
"300","42KT","gtfs.line.1.42kt-1"
"301","42KT","gtfs.line.1.42kt-0"
"302","42KM","gtfs.line.1.42km-1"
"303","42KM","gtfs.line.1.42km-0"
"304","42K","gtfs.line.1.42k-1"
"305","42K","gtfs.line.1.42k-0"
"306","42HM","gtfs.line.1.42hm-1"
"307","42HM","gtfs.line.1.42hm-0"
"308","429","gtfs.line.1.429-1"
"309","429","gtfs.line.1.429-0"
"310","42","gtfs.line.1.42-1"
"311","42","gtfs.line.1.42-0"
"312","41ST","gtfs.line.1.41st-1"
"313","41ST","gtfs.line.1.41st-0"
"314","41SM","gtfs.line.1.41sm-1"
"315","41SM","gtfs.line.1.41sm-0"
"316","41SF","gtfs.line.1.41sf-1"
"317","41SF","gtfs.line.1.41sf-0"
"318","41AT","gtfs.line.1.41at-1"
"319","41AT","gtfs.line.1.41at-0"
"320","418","gtfs.line.1.418-1"
"321","418","gtfs.line.1.418-0"
"322","41","gtfs.line.1.41-1"
"323","41","gtfs.line.1.41-0"
"324","40T","gtfs.line.1.40t-1"
"325","40T","gtfs.line.1.40t-0"
"326","40B","gtfs.line.1.40b-1"
"327","40B","gtfs.line.1.40b-0"
"328","404","gtfs.line.1.404-1"
"329","404","gtfs.line.1.404-0"
"330","403","gtfs.line.1.403-1"
"331","403","gtfs.line.1.403-0"
"332","402","gtfs.line.1.402-1"
"333","402","gtfs.line.1.402-0"
"334","401T","gtfs.line.1.401t-1"
"335","401T","gtfs.line.1.401t-0"
"336","401","gtfs.line.1.401-1"
"337","401","gtfs.line.1.401-0"
"338","400A","gtfs.line.1.400a-1"
"339","400A","gtfs.line.1.400a-0"
"340","400","gtfs.line.1.400-0"
"341","40","gtfs.line.1.40-1"
"342","40","gtfs.line.1.40-0"
"343","4","gtfs.line.1.4-0"
"344","3B","gtfs.line.1.3b-0"
"345","3A","gtfs.line.1.3a-0"
"346","39Ç","gtfs.line.1.39-1"
"347","39Ç","gtfs.line.1.39-0"
"348","39Y","gtfs.line.1.39y-1"
"349","39Y","gtfs.line.1.39y-0"
"350","39O","gtfs.line.1.39o-1"
"351","39O","gtfs.line.1.39o-0"
"352","39D","gtfs.line.1.39d-1"
"353","39D","gtfs.line.1.39d-0"
"354","39B","gtfs.line.1.39b-1"
"355","39B","gtfs.line.1.39b-0"
"356","399C","gtfs.line.1.399c-1"
"357","399C","gtfs.line.1.399c-0"
"358","399B","gtfs.line.1.399b-1"
"359","399B","gtfs.line.1.399b-0"
"360","38Z","gtfs.line.1.38z-1"
"361","38Z","gtfs.line.1.38z-0"
"362","38E","gtfs.line.1.38e-1"
"363","38E","gtfs.line.1.38e-0"
"364","38B","gtfs.line.1.38b-1"
"365","38B","gtfs.line.1.38b-0"
"366","38","gtfs.line.1.38-1"
"367","38","gtfs.line.1.38-0"
"368","37Y","gtfs.line.1.37y-1"
"369","37Y","gtfs.line.1.37y-0"
"370","37T","gtfs.line.1.37t-1"
"371","37T","gtfs.line.1.37t-0"
"372","37M","gtfs.line.1.37m-1"
"373","37M","gtfs.line.1.37m-0"
"374","37E","gtfs.line.1.37e-1"
"375","37E","gtfs.line.1.37e-0"
"376","37A","gtfs.line.1.37a-1"
"377","37A","gtfs.line.1.37a-0"
"378","36V","gtfs.line.1.36v-1"
"379","36V","gtfs.line.1.36v-0"
"380","36T","gtfs.line.1.36t-1"
"381","36T","gtfs.line.1.36t-0"
"382","36S","gtfs.line.1.36s-0"
"383","36M","gtfs.line.1.36m-1"
"384","36M","gtfs.line.1.36m-0"
"385","36L","gtfs.line.1.36l-1"
"386","36L","gtfs.line.1.36l-0"
"387","36KE","gtfs.line.1.36ke-1"
"388","36KE","gtfs.line.1.36ke-0"
"389","36HT","gtfs.line.1.36ht-1"
"390","36HT","gtfs.line.1.36ht-0"
"391","36ES","gtfs.line.1.36es-1"
"392","36ES","gtfs.line.1.36es-0"
"393","36E","gtfs.line.1.36e-1"
"394","36E","gtfs.line.1.36e-0"
"395","36Cİ","gtfs.line.1.36c-1"
"396","36Cİ","gtfs.line.1.36c-0"
"397","36CY","gtfs.line.1.36cy-1"
"398","36CY","gtfs.line.1.36cy-0"
"399","36CE","gtfs.line.1.36ce-1"
"400","36CE","gtfs.line.1.36ce-0"
"401","36Bİ","gtfs.line.1.36b-1"
"402","36Bİ","gtfs.line.1.36b-0"
"403","36AY","gtfs.line.1.36ay-0"
"404","36A","gtfs.line.1.36a-1"
"405","36A","gtfs.line.1.36a-0"
"406","36","gtfs.line.1.36-1"
"407","36","gtfs.line.1.36-0"
"408","35D","gtfs.line.1.35d-1"
"409","35D","gtfs.line.1.35d-0"
"410","35C","gtfs.line.1.35c-1"
"411","35C","gtfs.line.1.35c-0"
"412","35A","gtfs.line.1.35a-1"
"413","35","gtfs.line.1.35-1"
"414","35","gtfs.line.1.35-0"
"415","33Y","gtfs.line.1.33y-1"
"416","33Y","gtfs.line.1.33y-0"
"417","33M","gtfs.line.1.33m-1"
"418","33M","gtfs.line.1.33m-0"
"419","33ES","gtfs.line.1.33es-1"
"420","33ES","gtfs.line.1.33es-0"
"421","33E","gtfs.line.1.33e-1"
"422","33E","gtfs.line.1.33e-0"
"423","33B","gtfs.line.1.33b-1"
"424","33B","gtfs.line.1.33b-0"
"425","336İM","gtfs.line.1.336m-1"
"426","336İM","gtfs.line.1.336m-0"
"427","336T","gtfs.line.1.336t-1"
"428","336T","gtfs.line.1.336t-0"
"429","336H","gtfs.line.1.336h-1"
"430","336H","gtfs.line.1.336h-0"
"431","336E","gtfs.line.1.336e-1"
"432","336E","gtfs.line.1.336e-0"
