layer,code,name,cdk_id,type,clear_name,node_type
gtfs,HT12,1 bus HT12,gtfs.line.1.ht12-1,bus,,ptline
gtfs,HT12,1 bus HT12,gtfs.line.1.ht12-0,bus,,ptline
gtfs,HT11,1 bus HT11,gtfs.line.1.ht11-1,bus,,ptline
gtfs,HT11,1 bus HT11,gtfs.line.1.ht11-0,bus,,ptline
gtfs,GZ2,1 bus GZ2,gtfs.line.1.gz2-0,bus,,ptline
gtfs,GZ1,1 bus GZ1,gtfs.line.1.gz1-0,bus,,ptline
gtfs,FB2,1 bus FB2,gtfs.line.1.fb2-0,bus,,ptline
gtfs,FB1,1 bus FB1,gtfs.line.1.fb1-0,bus,,ptline
gtfs,ER2,1 bus ER2,gtfs.line.1.er2-0,bus,,ptline
gtfs,ER1,1 bus ER1,gtfs.line.1.er1-0,bus,,ptline
gtfs,EM2,1 bus EM2,gtfs.line.1.em2-0,bus,,ptline
gtfs,EM1,1 bus EM1,gtfs.line.1.em1-0,bus,,ptline
gtfs,E-9,1 bus E-9,gtfs.line.1.e9-1,bus,,ptline
gtfs,E-9,1 bus E-9,gtfs.line.1.e9-0,bus,,ptline
gtfs,E-60,1 bus E-60,gtfs.line.1.e60-1,bus,,ptline
gtfs,E-60,1 bus E-60,gtfs.line.1.e60-0,bus,,ptline
gtfs,E-58,1 bus E-58,gtfs.line.1.e58-1,bus,,ptline
gtfs,E-58,1 bus E-58,gtfs.line.1.e58-0,bus,,ptline
gtfs,E-57,1 bus E-57,gtfs.line.1.e57-1,bus,,ptline
gtfs,E-57,1 bus E-57,gtfs.line.1.e57-0,bus,,ptline
gtfs,98İ,1 bus 98İ,gtfs.line.1.98-0,bus,,ptline
gtfs,98Y,1 bus 98Y,gtfs.line.1.98y-1,bus,,ptline
gtfs,98Y,1 bus 98Y,gtfs.line.1.98y-0,bus,,ptline
gtfs,98T,1 bus 98T,gtfs.line.1.98t-1,bus,,ptline
gtfs,98T,1 bus 98T,gtfs.line.1.98t-0,bus,,ptline
gtfs,98S,1 bus 98S,gtfs.line.1.98s-1,bus,,ptline
gtfs,98S,1 bus 98S,gtfs.line.1.98s-0,bus,,ptline
gtfs,98M,1 bus 98M,gtfs.line.1.98m-1,bus,,ptline
gtfs,98M,1 bus 98M,gtfs.line.1.98m-0,bus,,ptline
gtfs,98K,1 bus 98K,gtfs.line.1.98k-1,bus,,ptline
gtfs,98K,1 bus 98K,gtfs.line.1.98k-0,bus,,ptline
gtfs,98H,1 bus 98H,gtfs.line.1.98h-1,bus,,ptline
gtfs,98H,1 bus 98H,gtfs.line.1.98h-0,bus,,ptline
gtfs,98G,1 bus 98G,gtfs.line.1.98g-1,bus,,ptline
gtfs,98G,1 bus 98G,gtfs.line.1.98g-0,bus,,ptline
gtfs,98E,1 bus 98E,gtfs.line.1.98e-1,bus,,ptline
gtfs,98E,1 bus 98E,gtfs.line.1.98e-0,bus,,ptline
gtfs,98D,1 bus 98D,gtfs.line.1.98d-1,bus,,ptline
gtfs,98D,1 bus 98D,gtfs.line.1.98d-0,bus,,ptline
gtfs,98C,1 bus 98C,gtfs.line.1.98c-1,bus,,ptline
gtfs,98C,1 bus 98C,gtfs.line.1.98c-0,bus,,ptline
gtfs,98B,1 bus 98B,gtfs.line.1.98b-1,bus,,ptline
gtfs,97T,1 bus 97T,gtfs.line.1.97t-1,bus,,ptline
gtfs,97T,1 bus 97T,gtfs.line.1.97t-0,bus,,ptline
gtfs,97M,1 bus 97M,gtfs.line.1.97m-1,bus,,ptline
gtfs,97M,1 bus 97M,gtfs.line.1.97m-0,bus,,ptline
gtfs,97G,1 bus 97G,gtfs.line.1.97g-1,bus,,ptline
gtfs,97G,1 bus 97G,gtfs.line.1.97g-0,bus,,ptline
gtfs,97E,1 bus 97E,gtfs.line.1.97e-0,bus,,ptline
gtfs,97B,1 bus 97B,gtfs.line.1.97b-1,bus,,ptline
gtfs,97B,1 bus 97B,gtfs.line.1.97b-0,bus,,ptline
gtfs,97A,1 bus 97A,gtfs.line.1.97a-1,bus,,ptline
gtfs,97A,1 bus 97A,gtfs.line.1.97a-0,bus,,ptline
gtfs,97,1 bus 97,gtfs.line.1.97-1,bus,,ptline
gtfs,97,1 bus 97,gtfs.line.1.97-0,bus,,ptline
gtfs,96T,1 bus 96T,gtfs.line.1.96t-1,bus,,ptline
gtfs,96T,1 bus 96T,gtfs.line.1.96t-0,bus,,ptline
gtfs,94A,1 bus 94A,gtfs.line.1.94a-1,bus,,ptline
gtfs,94A,1 bus 94A,gtfs.line.1.94a-0,bus,,ptline
gtfs,94,1 bus 94,gtfs.line.1.94-1,bus,,ptline
gtfs,94,1 bus 94,gtfs.line.1.94-0,bus,,ptline
gtfs,93T,1 bus 93T,gtfs.line.1.93t-1,bus,,ptline
gtfs,93T,1 bus 93T,gtfs.line.1.93t-0,bus,,ptline
gtfs,93M,1 bus 93M,gtfs.line.1.93m-1,bus,,ptline
gtfs,93M,1 bus 93M,gtfs.line.1.93m-0,bus,,ptline
gtfs,93C,1 bus 93C,gtfs.line.1.93c-1,bus,,ptline
gtfs,93C,1 bus 93C,gtfs.line.1.93c-0,bus,,ptline
gtfs,93,1 bus 93,gtfs.line.1.93-1,bus,,ptline
gtfs,93,1 bus 93,gtfs.line.1.93-0,bus,,ptline
gtfs,92Ş,1 bus 92Ş,gtfs.line.1.92-1,bus,,ptline
gtfs,92Ş,1 bus 92Ş,gtfs.line.1.92-0,bus,,ptline
gtfs,92T,1 bus 92T,gtfs.line.1.92t-1,bus,,ptline
gtfs,92T,1 bus 92T,gtfs.line.1.92t-0,bus,,ptline
gtfs,92K,1 bus 92K,gtfs.line.1.92k-1,bus,,ptline
gtfs,92K,1 bus 92K,gtfs.line.1.92k-0,bus,,ptline
gtfs,92C,1 bus 92C,gtfs.line.1.92c-1,bus,,ptline
gtfs,92C,1 bus 92C,gtfs.line.1.92c-0,bus,,ptline
gtfs,91O,1 bus 91O,gtfs.line.1.91o-1,bus,,ptline
gtfs,91O,1 bus 91O,gtfs.line.1.91o-0,bus,,ptline
gtfs,91E,1 bus 91E,gtfs.line.1.91e-1,bus,,ptline
gtfs,91E,1 bus 91E,gtfs.line.1.91e-0,bus,,ptline
gtfs,90B,1 bus 90B,gtfs.line.1.90b-1,bus,,ptline
gtfs,90B,1 bus 90B,gtfs.line.1.90b-0,bus,,ptline
gtfs,90,1 bus 90,gtfs.line.1.90-1,bus,,ptline
gtfs,90,1 bus 90,gtfs.line.1.90-0,bus,,ptline
gtfs,8M,1 bus 8M,gtfs.line.1.8m-1,bus,,ptline
gtfs,8M,1 bus 8M,gtfs.line.1.8m-0,bus,,ptline
gtfs,8E,1 bus 8E,gtfs.line.1.8e-1,bus,,ptline
gtfs,8E,1 bus 8E,gtfs.line.1.8e-0,bus,,ptline
gtfs,8D,1 bus 8D,gtfs.line.1.8d-1,bus,,ptline
gtfs,8D,1 bus 8D,gtfs.line.1.8d-0,bus,,ptline
gtfs,8A,1 bus 8A,gtfs.line.1.8a-1,bus,,ptline
gtfs,8A,1 bus 8A,gtfs.line.1.8a-0,bus,,ptline
gtfs,89İ,1 bus 89İ,gtfs.line.1.89-1,bus,,ptline
gtfs,89İ,1 bus 89İ,gtfs.line.1.89-0,bus,,ptline
gtfs,89YB,1 bus 89YB,gtfs.line.1.89yb-1,bus,,ptline
gtfs,89YB,1 bus 89YB,gtfs.line.1.89yb-0,bus,,ptline
gtfs,89T,1 bus 89T,gtfs.line.1.89t-1,bus,,ptline
gtfs,89T,1 bus 89T,gtfs.line.1.89t-0,bus,,ptline
gtfs,89S,1 bus 89S,gtfs.line.1.89s-1,bus,,ptline
gtfs,89S,1 bus 89S,gtfs.line.1.89s-0,bus,,ptline
gtfs,89M,1 bus 89M,gtfs.line.1.89m-1,bus,,ptline
gtfs,89M,1 bus 89M,gtfs.line.1.89m-0,bus,,ptline
gtfs,89C,1 bus 89C,gtfs.line.1.89c-1,bus,,ptline
gtfs,89C,1 bus 89C,gtfs.line.1.89c-0,bus,,ptline
gtfs,89B,1 bus 89B,gtfs.line.1.89b-1,bus,,ptline
gtfs,89B,1 bus 89B,gtfs.line.1.89b-0,bus,,ptline
gtfs,89A,1 bus 89A,gtfs.line.1.89a-1,bus,,ptline
gtfs,89A,1 bus 89A,gtfs.line.1.89a-0,bus,,ptline
gtfs,88A,1 bus 88A,gtfs.line.1.88a-1,bus,,ptline
gtfs,87,1 bus 87,gtfs.line.1.87-1,bus,,ptline
gtfs,87,1 bus 87,gtfs.line.1.87-0,bus,,ptline
gtfs,86V,1 bus 86V,gtfs.line.1.86v-1,bus,,ptline
gtfs,86V,1 bus 86V,gtfs.line.1.86v-0,bus,,ptline
gtfs,85T,1 bus 85T,gtfs.line.1.85t-1,bus,,ptline
gtfs,85T,1 bus 85T,gtfs.line.1.85t-0,bus,,ptline
gtfs,85C,1 bus 85C,gtfs.line.1.85c-1,bus,,ptline
gtfs,83O,1 bus 83O,gtfs.line.1.83o-1,bus,,ptline
gtfs,83O,1 bus 83O,gtfs.line.1.83o-0,bus,,ptline
gtfs,83,1 bus 83,gtfs.line.1.83-1,bus,,ptline
gtfs,83,1 bus 83,gtfs.line.1.83-0,bus,,ptline
gtfs,82B,1 bus 82B,gtfs.line.1.82b-0,bus,,ptline
gtfs,82,1 bus 82,gtfs.line.1.82-1,bus,,ptline
gtfs,82,1 bus 82,gtfs.line.1.82-0,bus,,ptline
gtfs,81,1 bus 81,gtfs.line.1.81-1,bus,,ptline
gtfs,81,1 bus 81,gtfs.line.1.81-0,bus,,ptline
gtfs,80T,1 bus 80T,gtfs.line.1.80t-1,bus,,ptline
gtfs,80T,1 bus 80T,gtfs.line.1.80t-0,bus,,ptline
