stop_list,cdk_id
gtfs.stop.istb.193553;gtfs.stop.istb.193554;gtfs.stop.istb.193556;gtfs.stop.istb.190882;gtfs.stop.istb.193535;gtfs.stop.istb.189432;gtfs.stop.istb.193537;gtfs.stop.istb.189518;gtfs.stop.istb.189634;gtfs.stop.istb.189524;gtfs.stop.istb.193539;gtfs.stop.istb.189526;gtfs.stop.istb.189528;gtfs.stop.istb.192938;gtfs.stop.istb.189530;gtfs.stop.istb.194193;gtfs.stop.istb.189534;gtfs.stop.istb.189532;gtfs.stop.istb.189857;gtfs.stop.istb.190459;gtfs.stop.istb.189554;gtfs.stop.istb.193809;gtfs.stop.istb.189548;gtfs.stop.istb.190546;gtfs.stop.istb.193529;gtfs.stop.istb.189829;gtfs.stop.istb.190540;gtfs.stop.istb.190543;gtfs.stop.istb.189695;gtfs.stop.istb.190547;gtfs.stop.istb.190548;gtfs.stop.istb.190550;gtfs.stop.istb.190551;gtfs.stop.istb.190531;gtfs.stop.istb.189823;gtfs.stop.istb.194234;gtfs.stop.istb.194009;gtfs.stop.istb.189448;gtfs.stop.istb.190421;gtfs.stop.istb.194376;gtfs.stop.istb.189445;gtfs.stop.istb.190485;gtfs.stop.istb.190529;gtfs.stop.istb.190225;gtfs.stop.istb.189825;gtfs.stop.istb.193163;gtfs.stop.istb.189443;gtfs.stop.istb.189646;gtfs.stop.istb.194103;gtfs.stop.istb.189440;gtfs.stop.istb.189615,gtfs.line.1.ht48-0
gtfs.stop.istb.190934;gtfs.stop.istb.189819;gtfs.stop.istb.189820;gtfs.stop.istb.190925;gtfs.stop.istb.190916;gtfs.stop.istb.193067;gtfs.stop.istb.190913;gtfs.stop.istb.190909;gtfs.stop.istb.194085;gtfs.stop.istb.190911;gtfs.stop.istb.190907;gtfs.stop.istb.190905;gtfs.stop.istb.190903;gtfs.stop.istb.190901;gtfs.stop.istb.190900;gtfs.stop.istb.189674;gtfs.stop.istb.192905;gtfs.stop.istb.192903;gtfs.stop.istb.192901;gtfs.stop.istb.192899;gtfs.stop.istb.194232,gtfs.line.1.ht2-1
gtfs.stop.istb.185942;gtfs.stop.istb.191989;gtfs.stop.istb.191992;gtfs.stop.istb.191995;gtfs.stop.istb.191997;gtfs.stop.istb.192000;gtfs.stop.istb.192003;gtfs.stop.istb.192005;gtfs.stop.istb.192007;gtfs.stop.istb.192008;gtfs.stop.istb.192009;gtfs.stop.istb.192010;gtfs.stop.istb.192011;gtfs.stop.istb.192012;gtfs.stop.istb.186507;gtfs.stop.istb.192314;gtfs.stop.istb.192047;gtfs.stop.istb.192048;gtfs.stop.istb.192004;gtfs.stop.istb.192001;gtfs.stop.istb.191999;gtfs.stop.istb.188008;gtfs.stop.istb.191994;gtfs.stop.istb.191993;gtfs.stop.istb.191990,gtfs.line.1.fb2-0
gtfs.stop.istb.189615;gtfs.stop.istb.189441;gtfs.stop.istb.189647;gtfs.stop.istb.189444;gtfs.stop.istb.193164;gtfs.stop.istb.189826;gtfs.stop.istb.190226;gtfs.stop.istb.190530;gtfs.stop.istb.190486;gtfs.stop.istb.189446;gtfs.stop.istb.193648;gtfs.stop.istb.189449;gtfs.stop.istb.194010;gtfs.stop.istb.189824;gtfs.stop.istb.190532;gtfs.stop.istb.190552;gtfs.stop.istb.193649;gtfs.stop.istb.193632;gtfs.stop.istb.190541;gtfs.stop.istb.189830;gtfs.stop.istb.190545;gtfs.stop.istb.189549;gtfs.stop.istb.189555;gtfs.stop.istb.193810;gtfs.stop.istb.190460;gtfs.stop.istb.189858;gtfs.stop.istb.189533;gtfs.stop.istb.189535;gtfs.stop.istb.194194;gtfs.stop.istb.189531;gtfs.stop.istb.192939;gtfs.stop.istb.189529;gtfs.stop.istb.189527;gtfs.stop.istb.193540;gtfs.stop.istb.189525;gtfs.stop.istb.189635;gtfs.stop.istb.189519;gtfs.stop.istb.193538;gtfs.stop.istb.189433;gtfs.stop.istb.193536;gtfs.stop.istb.190883;gtfs.stop.istb.193557;gtfs.stop.istb.193555;gtfs.stop.istb.193553,gtfs.line.1.ht48-1
gtfs.stop.istb.185941;gtfs.stop.istb.191989;gtfs.stop.istb.191992;gtfs.stop.istb.191996;gtfs.stop.istb.192050;gtfs.stop.istb.192053;gtfs.stop.istb.192054;gtfs.stop.istb.192056;gtfs.stop.istb.192059;gtfs.stop.istb.192062;gtfs.stop.istb.192065;gtfs.stop.istb.191379;gtfs.stop.istb.191377;gtfs.stop.istb.191375;gtfs.stop.istb.191374;gtfs.stop.istb.192017;gtfs.stop.istb.192016;gtfs.stop.istb.192047;gtfs.stop.istb.192048;gtfs.stop.istb.192004;gtfs.stop.istb.192001;gtfs.stop.istb.191999;gtfs.stop.istb.188008;gtfs.stop.istb.191994;gtfs.stop.istb.191993;gtfs.stop.istb.191990,gtfs.line.1.gz2-0
gtfs.stop.istb.190433;gtfs.stop.istb.190850;gtfs.stop.istb.193359;gtfs.stop.istb.193088;gtfs.stop.istb.189851;gtfs.stop.istb.190115;gtfs.stop.istb.190224;gtfs.stop.istb.190218;gtfs.stop.istb.193531;gtfs.stop.istb.193357;gtfs.stop.istb.193355;gtfs.stop.istb.193086;gtfs.stop.istb.193084;gtfs.stop.istb.193082;gtfs.stop.istb.193353;gtfs.stop.istb.193351;gtfs.stop.istb.193080;gtfs.stop.istb.193078;gtfs.stop.istb.193074;gtfs.stop.istb.193076;gtfs.stop.istb.193072;gtfs.stop.istb.193091;gtfs.stop.istb.190160;gtfs.stop.istb.189855;gtfs.stop.istb.189856,gtfs.line.1.ht11-1
gtfs.stop.istb.192983;gtfs.stop.istb.192980;gtfs.stop.istb.192840;gtfs.stop.istb.193364;gtfs.stop.istb.192978;gtfs.stop.istb.193814;gtfs.stop.istb.192976;gtfs.stop.istb.192974;gtfs.stop.istb.192972;gtfs.stop.istb.189569;gtfs.stop.istb.189568;gtfs.stop.istb.189573;gtfs.stop.istb.192922;gtfs.stop.istb.189574;gtfs.stop.istb.189453;gtfs.stop.istb.190089;gtfs.stop.istb.194147;gtfs.stop.istb.190174;gtfs.stop.istb.190242;gtfs.stop.istb.190299;gtfs.stop.istb.189371;gtfs.stop.istb.189373;gtfs.stop.istb.190221;gtfs.stop.istb.189375;gtfs.stop.istb.190222;gtfs.stop.istb.189374;gtfs.stop.istb.193530;gtfs.stop.istb.189380;gtfs.stop.istb.189382;gtfs.stop.istb.193478;gtfs.stop.istb.190219;gtfs.stop.istb.190227;gtfs.stop.istb.190229;gtfs.stop.istb.193495;gtfs.stop.istb.194157;gtfs.stop.istb.190231;gtfs.stop.istb.194040;gtfs.stop.istb.194159;gtfs.stop.istb.194042;gtfs.stop.istb.194044;gtfs.stop.istb.190531;gtfs.stop.istb.189823;gtfs.stop.istb.194234;gtfs.stop.istb.194009;gtfs.stop.istb.189448;gtfs.stop.istb.190421;gtfs.stop.istb.194376;gtfs.stop.istb.189445;gtfs.stop.istb.190485;gtfs.stop.istb.190529;gtfs.stop.istb.190225;gtfs.stop.istb.189825;gtfs.stop.istb.193163;gtfs.stop.istb.189443;gtfs.stop.istb.189646;gtfs.stop.istb.194103;gtfs.stop.istb.189440;gtfs.stop.istb.189615,gtfs.line.1.ht18-0
gtfs.stop.istb.185941;gtfs.stop.istb.191989;gtfs.stop.istb.191992;gtfs.stop.istb.191995;gtfs.stop.istb.191997;gtfs.stop.istb.192000;gtfs.stop.istb.192003;gtfs.stop.istb.192005;gtfs.stop.istb.192006;gtfs.stop.istb.192013;gtfs.stop.istb.192014;gtfs.stop.istb.192015;gtfs.stop.istb.186523;gtfs.stop.istb.192019;gtfs.stop.istb.191372;gtfs.stop.istb.191373;gtfs.stop.istb.191376;gtfs.stop.istb.191378;gtfs.stop.istb.191380;gtfs.stop.istb.192066;gtfs.stop.istb.192061;gtfs.stop.istb.192058;gtfs.stop.istb.192057;gtfs.stop.istb.192054;gtfs.stop.istb.192052;gtfs.stop.istb.192049;gtfs.stop.istb.191994;gtfs.stop.istb.191993;gtfs.stop.istb.191990,gtfs.line.1.gz1-0
gtfs.stop.istb.190442;gtfs.stop.istb.190853;gtfs.stop.istb.189775;gtfs.stop.istb.190855;gtfs.stop.istb.190856;gtfs.stop.istb.190857;gtfs.stop.istb.190858;gtfs.stop.istb.190859;gtfs.stop.istb.190861;gtfs.stop.istb.190871;gtfs.stop.istb.190873;gtfs.stop.istb.192989;gtfs.stop.istb.190875;gtfs.stop.istb.190877;gtfs.stop.istb.189766;gtfs.stop.istb.190259;gtfs.stop.istb.194397;gtfs.stop.istb.194399;gtfs.stop.istb.190139;gtfs.stop.istb.194403;gtfs.stop.istb.192829;gtfs.stop.istb.194405;gtfs.stop.istb.194017,gtfs.line.1.ht12-1
gtfs.stop.istb.189856;gtfs.stop.istb.193070;gtfs.stop.istb.193071;gtfs.stop.istb.193075;gtfs.stop.istb.193073;gtfs.stop.istb.193077;gtfs.stop.istb.193079;gtfs.stop.istb.193350;gtfs.stop.istb.193352;gtfs.stop.istb.193081;gtfs.stop.istb.193083;gtfs.stop.istb.193085;gtfs.stop.istb.193354;gtfs.stop.istb.193356;gtfs.stop.istb.190217;gtfs.stop.istb.190223;gtfs.stop.istb.190116;gtfs.stop.istb.189852;gtfs.stop.istb.193087;gtfs.stop.istb.193358;gtfs.stop.istb.190098;gtfs.stop.istb.190849;gtfs.stop.istb.190854;gtfs.stop.istb.190433,gtfs.line.1.ht11-0
